DBN,School Name,Testers,Offers,,Source: New York City Department of Education. ^Data suppressed for values of 5 students or fewer.
27Q226,J.H.S. 226 VIRGIL I. GRISSOM,58,s,,
84X419,BRONX ACADEMY OF PROMISE CHARTER SCHOOL,58,s,,
84K712,EXCELLENCE GIRLS CHARTER SCHOOL,59,s,,
24Q077,I.S. 077,61,s,,
09X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,63,s,,
10X228,JONAS BRONCK ACADEMY,64,s,,
84K774,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,65,s,,
84X255,BRONX CHARTER SCHOOL FOR EXCELLENCE,65,s,,
09X128,MOTT HALL III,68,s,,
17K002,PARKSIDE PREPARATORY ACADEMY,69,s,,
22K240,ANDRIES HUDDE,74,s,,
31R002,I.S. R002 GEORGE L. EGBERT,75,s,,
24Q093,I.S. 093 RIDGEWOOD,78,s,,
06M223,THE MOTT HALL SCHOOL,81,s,,
10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,91,s,,
24Q061,I.S. 061 LEONARDO DA VINCI,93,s,,
08X071,P.S. 071 ROSE E. SCALA,96,s,,
17K061,M.S. 061 DR. GLADSTONE H. ATWELL,96,s,,
20K062,J.H.S. 062 DITMAS,104,s,,
29Q238,I.S. 238 - SUSAN B. ANTHONY ACADEMY,123,s,,
11X180,M.S. 180 DR. DANIEL HALE WILLIAMS,151,s,,
32K383,J.H.S. 383 PHILIPPA SCHUYLER,179,s,,
01M188,P.S. 188 THE ISLAND SCHOOL,s,s,,
02M225,ELLA BAKER SCHOOL,s,s,,
02M655,LIFE SCIENCES SECONDARY SCHOOL,s,s,,
03M076,P.S. 076 A. PHILIP RANDOLPH,s,s,,
03M149,P.S. 149 SOJOURNER TRUTH,s,s,,
03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,s,s,,
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,s,s,,
04M007,P.S. 007 SAMUEL STERN,s,s,,
04M096,P.S. 096 JOSEPH LANZETTA,s,s,,
04M372,ESPERANZA PREPARATORY ACADEMY,s,s,,
04M406,GLOBAL TECHNOLOGY PREPARATORY,s,s,,
05M123,P.S. 123 MAHALIA JACKSON,s,s,,
06M349,HARBOR HEIGHTS,s,s,,
06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,s,s,,
07X151,J.H.S. 151 LOU GEHRIG,s,s,,
07X224,P.S./I.S. 224,s,s,,
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,s,s,,
07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,s,s,,
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,s,s,,
08X301,M.S. 301 PAUL L. DUNBAR,s,s,,
08X424,THE HUNTS POINT SCHOOL,s,s,,
09X117,I.S. 117 JOSEPH H. WADE,s,s,,
09X229,I.S. 229 ROLAND PATTERSON,s,s,,
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,s,s,,
12X098,J.H.S. 098 HERMAN RIDDER,s,s,,
12X212,P.S. 212,s,s,,
12X267,BRONX LATIN,s,s,,
12X286,FANNIE LOU HAMER MIDDLE SCHOOL,s,s,,
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,s,s,,
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,s,s,,
14K582,M.S. 582,s,s,,
14K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,s,s,,
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",s,s,,
23K041,P.S. 041 FRANCIS WHITE,s,s,,
23K178,P.S. 178 SAINT CLAIR MCKELWAY,s,s,,
23K184,P.S. 184 NEWPORT,s,s,,
23K697,TEACHERS PREPARATORY HIGH SCHOOL,s,s,,
27Q042,P.S./M.S. 042 R. VERNAM,s,s,,
27Q047,P.S. 047 CHRIS GALAS,s,s,,
27Q114,P.S./M.S. 114 BELLE HARBOR,s,s,,
27Q318,WATERSIDE SCHOOL FOR LEADERSHIP,s,s,,
29Q327,EAGLE ACADEMY FOR YOUNG MEN III,s,s,,
75K140,P.S. K140,s,s,,
75K369,P.S. K369 - COY L. COX SCHOOL,s,s,,
75M094,P.S. M094,s,s,,
75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,s,s,,
75X017,P.S. X017,s,s,,
75X168,P.S. 168,s,s,,
75X176,P.S. X176,s,s,,
84M204,CAPITAL PREPARATORY (CP) HARLEM CHARTER SCHOOL,s,s,,
84M353,NEW HEIGHTS ACADEMY CHARTER SCHOOL,s,s,,
84X185,BRONX LIGHTHOUSE CHARTER SCHOOL,s,s,,
88X809,TEMPORARY CODE 88X809,s,s,,
20K187,THE CHRISTA MCAULIFFE SCHOOL\I.S. 187,251,205,,
21K239,MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,336,196,,
03M054,J.H.S. 054 BOOKER T. WASHINGTON,257,150,,
15K051,M.S. 51 WILLIAM ALEXANDER,280,122,,
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,163,113,,
21K098,I.S. 98 BAY ACADEMY,372,104,,
20K201,J.H.S. 201 THE DYKER HEIGHTS,338,101,,
26Q074,J.H.S. 074 NATHANIEL HAWTHORNE,233,95,,
26Q216,J.H.S. 216 GEORGE J. RYAN,304,95,,
25Q185,J.H.S. 185 EDWARD BLEEKER,250,93,,
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH SCHOOL",126,91,,
20K259,J.H.S. 259 WILLIAM MCKINLEY,309,86,,
26Q158,M.S. 158 MARIE CURIE,236,84,,
26Q067,J.H.S. 067 LOUIS PASTEUR,211,82,,
22K234,J.H.S. 234 ARTHUR W. CUNNINGHAM,370,79,,
02M167,J.H.S. 167 ROBERT F. WAGNER,258,77,,
02M114,EAST SIDE MIDDLE SCHOOL,124,75,,
24Q073,I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,394,73,,
02M255,M.S. 255 SALK SCHOOL OF SCIENCE,108,70,,
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,94,62,,
24Q119,I.S. 119 THE GLENDALE,104,59,,
03M334,THE ANDERSON SCHOOL,75,58,,
25Q194,J.H.S. 194 WILLIAM CARR,147,54,,
28Q190,J.H.S. 190 RUSSELL SAGE,172,53,,
25Q237,I.S. 237,194,53,,
02M104,J.H.S. 104 SIMON BARUCH,260,53,,
28Q157,J.H.S. 157 STEPHEN A. HALSEY,249,52,,
15K447,THE MATH & SCIENCE EXPLORATORY SCHOOL,134,51,,
30Q122,P.S. 122 MAMIE FAY,74,49,,
20K686,BROOKLYN SCHOOL OF INQUIRY,80,46,,
31R075,I.S. 075 FRANK D. PAULO,153,46,,
24Q005,I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,264,40,,
20K180,THE SEEALL ACADEMY,113,38,,
24Q125,I.S. 125 THOM J. MCCANN WOODSIDE,272,34,,
26Q172,IRWIN ALTMAN MIDDLE SCHOOL 172,189,33,,
21K281,I.S. 281 JOSEPH B CAVALLARO,171,30,,
25Q025,I.S. 025 ADRIEN BLOCK,147,29,,
10X118,J.H.S. 118 WILLIAM W. NILES,270,29,,
04M012,TAG YOUNG SCHOLARS,54,27,,
27Q323,SCHOLARS' ACADEMY,104,27,,
20K220,J.H.S. 220 JOHN J. PERSHING,181,27,,
30Q227,I.S. 227 LOUIS ARMSTRONG,206,27,,
14K318,I.S. 318 EUGENIO MARIA DE HOSTOS,222,27,,
30Q300,THE 30TH AVENUE SCHOOL (G&T CITYWIDE),39,26,,
31R072,I.S. 072 ROCCO LAURIE,139,26,,
30Q230,I.S. 230,157,26,,
30Q141,I.S. 141 THE STEINWAY,170,26,,
20K227,J.H.S. 227 EDWARD B. SHALLOW,197,25,,
28Q217,J.H.S. 217 ROBERT A. VAN WYCK,175,24,,
05M362,COLUMBIA SECONDARY SCHOOL,42,23,,
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,61,23,,
01M184,P.S. 184M SHUANG WEN,67,23,,
27Q137,M.S. 137 AMERICA'S SCHOOL OF HEROES,179,23,,
02M276,BATTERY PARK CITY SCHOOL,56,22,,
31R007,I.S. 007 ELIAS BERNSTEIN,129,22,,
25Q294,BELL ACADEMY,69,21,,
27Q210,J.H.S. 210 ELIZABETH BLACKWELL,169,21,,
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,70,20,,
20K229,P.S. 229 DYKER,93,20,,
15K088,J.H.S. 088 PETER ROUGET,163,20,,
30Q126,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,59,19,,
03M245,M.S. M245 THE COMPUTER SCHOOL,70,19,,
15K443,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,94,19,,
20K223,J.H.S. 223 THE MONTAUK,142,19,,
02M126,P.S. 126 JACOB AUGUST RIIS,66,18,,
27Q202,J.H.S. 202 ROBERT H. GODDARD,98,18,,
02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,36,17,,
24Q102,P.S. 102 BAYVIEW,67,17,,
25Q189,J.H.S. 189 DANIEL CARTER BEARD,97,17,,
21K228,I.S. 228 DAVID A. BOODY,160,17,,
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,46,15,,
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),75,15,,
03M243,M.S. 243 CENTER SCHOOL,38,14,,
24Q049,P.S. 049 DOROTHY BONAWIT KOLE,43,14,,
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,66,14,,
31R027,I.S. 027 ANNING S. PRALL,77,14,,
25Q499,"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",40,13,,
11X083,P.S. 083 DONALD HERTZ,77,13,,
03M862,MOTT HALL II,64,12,,
30Q291,HUNTERS POINT COMMUNITY MIDDLE SCHOOL,65,11,,
20K104,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,87,11,,
31R024,I.S. 024 MYRA S. BARNES,132,11,,
02M397,SPRUCE STREET SCHOOL,36,10,,
06M278,PAULA HEDBAVNY SCHOOL,24,9,,
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",29,9,,
24Q128,"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",46,9,,
22K206,P.S. 206 JOSEPH F LAMB,51,9,,
31R048,P.S. 048 WILLIAM G. WILCOX,70,9,,
19K292,J.H.S. 292 MARGARET S. DOUGLAS,81,9,,
21K096,I.S. 096 SETH LOW,114,9,,
29Q109,JEAN NUZZI INTERMEDIATE SCHOOL,117,9,,
11X127,J.H.S. 127 THE CASTLE HILL,133,9,,
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,21,8,,
84K707,BROOKLYN PROSPECT CHARTER SCHOOL,24,8,,
26Q266,P.S./I.S. 266,33,8,,
13K008,P.S. 008 ROBERT FULTON,42,8,,
11X194,P.S./M.S. 194,64,8,,
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,70,8,,
31R034,I.S. 034 TOTTENVILLE,81,8,,
11X181,I.S. 181 PABLO CASALS,124,8,,
25Q219,P.S. 219 PAUL KLAPPER,29,7,,
15K839,M.S. 839,36,7,,
20K163,P.S. 163 BATH BEACH,39,7,,
84K758,BROOKLYN URBAN GARDEN CHARTER SCHOOL,43,7,,
21K226,P.S. 226 ALFRED DE B.MASON,44,7,,
84K362,HELLENIC CLASSICAL CHARTER SCHOOL,46,7,,
02M131,M.S. 131,54,7,,
08X101,M.S. X101 EDWARD R. BYRNE,66,7,,
31R063,MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING,70,7,,
18K235,P.S. 235 JANICE MARIE KNIGHT SCHOOL,89,7,,
14K577,CONSELYEA PREPARATORY SCHOOL,90,7,,
22K278,J.H.S. 278 MARINE PARK,98,7,,
30Q145,I.S. 145 JOSEPH PULITZER,137,7,,
03M291,WEST END SECONDARY SCHOOL,31,6,,
15K497,THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES,32,6,,
84X494,SUCCESS ACADEMY CHARTER SCHOOL - BRONX 2,36,6,,
25Q164,P.S. 164 QUEENS VALLEY,38,6,,
20K030,P.S./I.S. 30 MARY WHITE OVINGTON,51,6,,
84Q298,MIDDLE VILLAGE PREP CHARTER SCHOOL,58,6,,
31R051,I.S. 051 EDWIN MARKHAM,101,6,,
