DBN,School Name,Testers,Offers,,Source: New York City Department of Education. ^Data suppressed for values of 5 students or fewer.
19K171,I.S. 171 ABRAHAM LINCOLN,11,s,,
27Q146,P.S. 146 HOWARD BEACH,11,s,,
32K347,I.S. 347 SCHOOL OF HUMANITIES,11,s,,
84X492,SOUTH BRONX EARLY COLLEGE ACADEMY CHARTER SCHOOL,11,s,,
03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,12,s,,
06M311,AMISTAD DUAL LANGUAGE SCHOOL,12,s,,
10X315,P.S. 315 LAB SCHOOL,12,s,,
17K394,M.S. K394,12,s,,
19K662,LIBERTY AVENUE MIDDLE SCHOOL,12,s,,
19K663,SCHOOL OF THE FUTURE BROOKLYN,12,s,,
21K095,P.S. 095 THE GRAVESEND,12,s,,
22K109,P.S. 109,12,s,,
23K644,EAGLE ACADEMY FOR YOUNG MEN II,12,s,,
23K664,BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),12,s,,
24Q087,P.S./I.S. 087 MIDDLE VILLAGE,12,s,,
28Q008,J.H.S. 008 RICHARD S. GROSSLEY,12,s,,
84M279,THE OPPORTUNITY CHARTER SCHOOL,12,s,,
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,13,s,,
05M499,FREDERICK DOUGLASS ACADEMY,13,s,,
06M052,J.H.S. 052 INWOOD,13,s,,
06M293,CITY COLLEGE ACADEMY OF THE ARTS,13,s,,
08X302,M.S. 302 LUISA DESSUS CRUZ,13,s,,
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",13,s,,
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,13,s,,
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",13,s,,
10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,13,s,,
10X254,I.S. 254,13,s,,
17K722,NEW HEIGHTS MIDDLE SCHOOL,13,s,,
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,13,s,,
84M708,HARLEM PREP CHARTER SCHOOL,13,s,,
84M861,FUTURE LEADERS INSTITUTE CHARTER SCHOOL,13,s,,
84Q705,RENAISSANCE CHARTER SCHOOL,13,s,,
04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,14,s,,
11X175,P.S. 175 CITY ISLAND,14,s,,
12X271,EAST BRONX ACADEMY FOR THE FUTURE,14,s,,
20K192,P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,14,s,,
21K238,P.S. 238 ANNE SULLIVAN,14,s,,
27Q207,P.S. 207 ROCKWOOD PARK,14,s,,
30Q078,P.S./I.S. 78Q,14,s,,
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",15,s,,
03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,15,s,,
05M286,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,15,s,,
06M366,WASHINGTON HEIGHTS ACADEMY,15,s,,
09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,15,s,,
11X532,BAYCHESTER MIDDLE SCHOOL,15,s,,
14K157,P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,15,s,,
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,15,s,,
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,15,s,,
19K654,VAN SICLEN COMMUNITY MIDDLE SCHOOL,15,s,,
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,15,s,,
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,15,s,,
84K757,UNITY PREP CHARTER SCHOOL,15,s,,
84M336,KIPP INFINITY CHARTER SCHOOL,15,s,,
84X461,METROPOLITAN LIGHTHOUSE CHARTER SCHOOL,15,s,,
01M450,EAST SIDE COMMUNITY SCHOOL,16,s,,
05M161,P.S. 161 PEDRO ALBIZU CAMPOS,16,s,,
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,16,s,,
09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,16,s,,
09X325,URBAN SCIENCE ACADEMY,16,s,,
18K068,I.S. 068 ISAAC BILDERSEE,16,s,,
19K678,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,16,s,,
24Q311,CORONA ARTS AND SCIENCES ACADEMY,16,s,,
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,16,s,,
27Q053,M.S. 053 BRIAN PICCOLO,16,s,,
84K536,COMMUNITY ROOTS CHARTER SCHOOL,16,s,,
84M330,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,16,s,,
84M382,DREAM CHARTER SCHOOL,16,s,,
84R067,JOHN W. LAVELLE PREPARATORY CHARTER SCHOOL,16,s,,
84X177,MOTT HALL CHARTER SCHOOL,16,s,,
02M933,CITY KNOLL MIDDLE SCHOOL,17,s,,
04M206,P.S. 206 JOSE CELSO BARBOSA,17,s,,
06M143,J.H.S. 143 ELEANOR ROOSEVELT,17,s,,
08X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL,17,s,,
10X391,THE ANGELO PATRI MIDDLE SCHOOL,17,s,,
12X242,MOTT HALL V,17,s,,
13K691,FORT GREENE PREPARATORY ACADEMY,17,s,,
18K598,MIDDLE SCHOOL OF MARKETING AND LEGAL STUDIES,17,s,,
19K089,P.S. 089 CYPRESS HILLS,17,s,,
21K099,P.S. 099 ISAAC ASIMOV,17,s,,
29Q355,COLLABORATIVE ARTS MIDDLE SCHOOL,17,s,,
84K702,COMMUNITY PARTNERSHIP CHARTER SCHOOL,17,s,,
84X422,ICAHN CHARTER SCHOOL 3,17,s,,
06M209,HAMILTON GRANGE MIDDLE SCHOOL,18,s,,
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223,18,s,,
09X361,THE HIGHBRIDGE GREEN SCHOOL,18,s,,
10X243,WEST BRONX ACADEMY FOR THE FUTURE,18,s,,
12X318,"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",18,s,,
14K084,P.S. 084 JOSE DE DIEGO,18,s,,
15K136,I.S. 136 CHARLES O. DEWEY,18,s,,
17K354,THE SCHOOL OF INTEGRATED LEARNING,18,s,,
18K581,EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,18,s,,
29Q192,I.S. 192 THE LINDEN,18,s,,
31R028,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,18,s,,
84M341,HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL,18,s,,
84M726,KIPP STAR COLLEGE PREP CHARTER SCHOOL,18,s,,
01M378,SCHOOL FOR GLOBAL LEADERS,19,s,,
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,19,s,,
10X308,BRONX DANCE ACADEMY SCHOOL,19,s,,
12X190,E.S.M.T- I.S. 190,19,s,,
16K267,"M.S. 267 MATH, SCIENCE & TECHNOLOGY",19,s,,
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,19,s,,
84M068,KIPP WASHINGTON HEIGHTS MIDDLE SCHOOL,19,s,,
84X165,GRAND CONCOURSE CHARTER SCHOOL,19,s,,
84X345,HYDE LEADERSHIP CHARTER SCHOOL,19,s,,
