DBN,Category,Tested,Passed,,Category,Tested,Passed,,%Disadvantaged,%NotDisadvantaged,%PASSED,DisadvantagedDecile,PassedDecile,Passed
19K089,Econ Disadv,55,0,,Not Econ Disadv,2,0,,0.96,0.04,0,10,0,0
19K171,Econ Disadv,127,13,,Not Econ Disadv,10,50,,0.93,0.07,0.16,9,2,16
19K218,Econ Disadv,128,0,,Not Econ Disadv,1,0,,0.99,0.01,0,10,0,0
19K292,Econ Disadv,163,26,,Not Econ Disadv,7,14,,0.96,0.04,0.26,10,3,26
19K364,Econ Disadv,96,24,,Not Econ Disadv,22,36,,0.81,0.19,0.26,8,3,26
19K404,Econ Disadv,49,27,,Not Econ Disadv,10,40,,0.83,0.17,0.29,8,3,29
19K409,Econ Disadv,53,53,,Not Econ Disadv,11,55,,0.83,0.17,0.53,8,5,53
19K422,Econ Disadv,58,19,,Not Econ Disadv,10,20,,0.85,0.15,0.19,9,2,19
19K452,Econ Disadv,93,33,,Not Econ Disadv,11,45,,0.89,0.11,0.34,9,3,34
19K654,Econ Disadv,92,21,,Not Econ Disadv,8,13,,0.92,0.08,0.2,9,2,20
19K661,Econ Disadv,142,0,,Not Econ Disadv,5,0,,0.97,0.03,0,10,0,0
19K662,Econ Disadv,145,32,,Not Econ Disadv,6,33,,0.96,0.04,0.32,10,3,32
19K663,Econ Disadv,58,21,,Not Econ Disadv,6,0,,0.91,0.09,0.19,9,2,19
19K678,Econ Disadv,77,12,,Not Econ Disadv,7,0,,0.92,0.08,0.11,9,1,11
19K760,Econ Disadv,115,26,,Not Econ Disadv,7,43,,0.94,0.06,0.27,9,3,27
20K030,Econ Disadv,111,48,,Not Econ Disadv,18,67,,0.86,0.14,0.51,9,5,51
20K062,Econ Disadv,275,41,,Not Econ Disadv,39,54,,0.88,0.12,0.43,9,4,43
20K104,Econ Disadv,114,52,,Not Econ Disadv,45,60,,0.72,0.28,0.54,7,5,54
20K163,Econ Disadv,66,45,,Not Econ Disadv,7,57,,0.9,0.1,0.46,9,5,46
20K180,Econ Disadv,129,57,,Not Econ Disadv,19,79,,0.87,0.13,0.6,9,6,60
20K187,Econ Disadv,191,95,,Not Econ Disadv,119,98,,0.62,0.38,0.96,6,10,96
20K192,Econ Disadv,44,45,,Not Econ Disadv,11,36,,0.8,0.2,0.43,8,4,43
20K201,Econ Disadv,386,68,,Not Econ Disadv,156,87,,0.71,0.29,0.73,7,7,73
20K220,Econ Disadv,393,38,,Not Econ Disadv,53,51,,0.88,0.12,0.4,9,4,40
20K223,Econ Disadv,247,47,,Not Econ Disadv,8,75,,0.97,0.03,0.48,10,5,48
20K227,Econ Disadv,512,40,,Not Econ Disadv,47,55,,0.92,0.08,0.41,9,4,41
20K229,Econ Disadv,71,51,,Not Econ Disadv,53,70,,0.57,0.43,0.59,6,6,59
20K259,Econ Disadv,496,58,,Not Econ Disadv,123,75,,0.8,0.2,0.61,8,6,61
20K609,Econ Disadv,56,59,,Not Econ Disadv,7,29,,0.89,0.11,0.56,9,6,56
20K686,Econ Disadv,13,100,,Not Econ Disadv,34,94,,0.28,0.72,0.96,3,10,96
21K095,Econ Disadv,40,48,,Not Econ Disadv,9,56,,0.82,0.18,0.49,8,5,49
21K096,Econ Disadv,172,30,,Not Econ Disadv,48,27,,0.78,0.22,0.29,8,3,29
21K098,Econ Disadv,254,89,,Not Econ Disadv,246,93,,0.51,0.49,0.91,5,9,91
21K099,Econ Disadv,60,40,,Not Econ Disadv,12,75,,0.83,0.17,0.46,8,5,46
21K121,Econ Disadv,22,45,,Not Econ Disadv,9,56,,0.71,0.29,0.48,7,5,48
21K209,Econ Disadv,49,51,,Not Econ Disadv,11,73,,0.82,0.18,0.55,8,6,55
21K225,Econ Disadv,84,24,,Not Econ Disadv,30,30,,0.74,0.26,0.26,7,3,26
21K226,Econ Disadv,85,41,,Not Econ Disadv,30,60,,0.74,0.26,0.46,7,5,46
21K228,Econ Disadv,339,55,,Not Econ Disadv,114,74,,0.75,0.25,0.6,7,6,60
21K238,Econ Disadv,46,30,,Not Econ Disadv,8,50,,0.85,0.15,0.33,9,3,33
21K239,Econ Disadv,154,82,,Not Econ Disadv,244,94,,0.39,0.61,0.89,4,9,89
21K281,Econ Disadv,338,44,,Not Econ Disadv,62,68,,0.85,0.16,0.48,8,5,48
21K288,Econ Disadv,42,0,,Not Econ Disadv,3,0,,0.93,0.07,0,9,0,0
21K303,Econ Disadv,127,32,,Not Econ Disadv,42,50,,0.75,0.25,0.36,8,4,36
21K468,Econ Disadv,68,32,,Not Econ Disadv,10,60,,0.87,0.13,0.36,9,4,36
21K690,Econ Disadv,78,40,,Not Econ Disadv,11,27,,0.88,0.12,0.38,9,4,38
22K014,Econ Disadv,138,28,,Not Econ Disadv,15,60,,0.9,0.1,0.31,9,3,31
22K078,Econ Disadv,138,25,,Not Econ Disadv,47,43,,0.75,0.25,0.3,7,3,30
22K109,Econ Disadv,55,31,,Not Econ Disadv,6,83,,0.9,0.1,0.36,9,4,36
22K206,Econ Disadv,110,51,,Not Econ Disadv,30,70,,0.79,0.21,0.55,8,6,55
22K207,Econ Disadv,57,54,,Not Econ Disadv,62,71,,0.48,0.52,0.63,5,6,63
22K234,Econ Disadv,399,53,,Not Econ Disadv,130,72,,0.75,0.25,0.58,8,6,58
22K240,Econ Disadv,180,20,,Not Econ Disadv,42,36,,0.81,0.19,0.23,8,2,23
22K278,Econ Disadv,263,41,,Not Econ Disadv,101,58,,0.72,0.28,0.46,7,5,46
22K381,Econ Disadv,51,33,,Not Econ Disadv,11,45,,0.82,0.18,0.35,8,4,35
22K890,Econ Disadv,83,53,,Not Econ Disadv,19,53,,0.81,0.19,0.53,8,5,53
23K041,Econ Disadv,42,0,,Not Econ Disadv,3,0,,0.93,0.07,0,9,0,0
23K137,Econ Disadv,19,0,,Not Econ Disadv,4,0,,0.83,0.17,0,8,0,0
23K155,Econ Disadv,35,14,,Not Econ Disadv,0,0,,1,0,0.14,10,1,14
23K178,Econ Disadv,25,0,,Not Econ Disadv,5,0,,0.83,0.17,0,8,0,0
23K184,Econ Disadv,36,14,,Not Econ Disadv,0,0,,1,0,0.14,10,1,14
23K323,Econ Disadv,67,0,,Not Econ Disadv,2,0,,0.97,0.03,0,10,0,0
23K363,Econ Disadv,75,0,,Not Econ Disadv,2,0,,0.97,0.03,0,10,0,0
23K392,Econ Disadv,82,51,,Not Econ Disadv,13,77,,0.86,0.14,0.55,9,5,55
23K518,Econ Disadv,49,27,,Not Econ Disadv,6,17,,0.89,0.11,0.26,9,3,26
23K522,Econ Disadv,33,0,,Not Econ Disadv,5,0,,0.87,0.13,0,9,0,0
23K644,Econ Disadv,52,17,,Not Econ Disadv,14,7,,0.79,0.21,0.15,8,1,15
23K664,Econ Disadv,22,0,,Not Econ Disadv,4,0,,0.85,0.15,0,8,0,0
23K668,Econ Disadv,39,26,,Not Econ Disadv,0,0,,1,0,0.26,10,3,26
23K671,Econ Disadv,58,0,,Not Econ Disadv,3,0,,0.95,0.05,0,10,0,0
24Q005,Econ Disadv,424,51,,Not Econ Disadv,118,58,,0.78,0.22,0.53,8,5,53
24Q049,Econ Disadv,76,61,,Not Econ Disadv,52,60,,0.59,0.41,0.61,6,6,61
24Q061,Econ Disadv,677,24,,Not Econ Disadv,60,33,,0.92,0.08,0.25,9,2,25
24Q073,Econ Disadv,420,46,,Not Econ Disadv,242,66,,0.63,0.37,0.53,6,5,53
24Q077,Econ Disadv,257,25,,Not Econ Disadv,30,37,,0.9,0.1,0.26,9,3,26
24Q087,Econ Disadv,33,48,,Not Econ Disadv,15,40,,0.69,0.31,0.46,7,5,46
24Q093,Econ Disadv,315,37,,Not Econ Disadv,40,55,,0.89,0.11,0.39,9,4,39
24Q102,Econ Disadv,120,56,,Not Econ Disadv,19,63,,0.86,0.14,0.57,9,6,57
24Q113,Econ Disadv,42,45,,Not Econ Disadv,56,68,,0.43,0.57,0.58,4,6,58
24Q119,Econ Disadv,168,48,,Not Econ Disadv,46,72,,0.79,0.21,0.53,8,5,53
24Q125,Econ Disadv,387,46,,Not Econ Disadv,118,59,,0.77,0.23,0.49,8,5,49
24Q128,Econ Disadv,23,52,,Not Econ Disadv,102,75,,0.18,0.82,0.71,2,7,71
24Q311,Econ Disadv,291,21,,Not Econ Disadv,12,42,,0.96,0.04,0.22,10,2,22
24Q560,Econ Disadv,26,88,,Not Econ Disadv,24,88,,0.52,0.48,0.88,5,9,88
25Q025,Econ Disadv,204,58,,Not Econ Disadv,132,73,,0.61,0.39,0.64,6,6,64
25Q164,Econ Disadv,68,57,,Not Econ Disadv,20,55,,0.77,0.23,0.57,8,6,57
25Q185,Econ Disadv,363,53,,Not Econ Disadv,108,66,,0.77,0.23,0.56,8,6,56
25Q189,Econ Disadv,190,38,,Not Econ Disadv,58,52,,0.77,0.23,0.41,8,4,41
25Q194,Econ Disadv,231,52,,Not Econ Disadv,172,64,,0.57,0.43,0.57,6,6,57
25Q200,Econ Disadv,44,52,,Not Econ Disadv,13,69,,0.77,0.23,0.56,8,6,56
25Q219,Econ Disadv,52,54,,Not Econ Disadv,16,50,,0.76,0.24,0.53,8,5,53
25Q237,Econ Disadv,331,47,,Not Econ Disadv,77,62,,0.81,0.19,0.5,8,5,50
25Q250,Econ Disadv,100,32,,Not Econ Disadv,18,50,,0.85,0.15,0.35,8,3,35
25Q252,Econ Disadv,51,53,,Not Econ Disadv,27,56,,0.65,0.35,0.54,7,5,54
25Q281,Econ Disadv,73,66,,Not Econ Disadv,11,64,,0.87,0.13,0.66,9,7,66
25Q285,Econ Disadv,51,53,,Not Econ Disadv,30,77,,0.63,0.37,0.62,6,6,62
25Q294,Econ Disadv,54,67,,Not Econ Disadv,69,65,,0.44,0.56,0.66,4,7,66
25Q499,Econ Disadv,26,88,,Not Econ Disadv,27,100,,0.49,0.51,0.94,5,9,94
26Q067,Econ Disadv,125,66,,Not Econ Disadv,177,83,,0.41,0.59,0.76,4,8,76
26Q074,Econ Disadv,149,70,,Not Econ Disadv,194,86,,0.43,0.57,0.79,4,8,79
26Q158,Econ Disadv,183,57,,Not Econ Disadv,143,66,,0.56,0.44,0.61,6,6,61
26Q172,Econ Disadv,181,54,,Not Econ Disadv,118,78,,0.61,0.39,0.63,6,6,63
26Q178,Econ Disadv,19,58,,Not Econ Disadv,34,59,,0.36,0.64,0.59,4,6,59
26Q216,Econ Disadv,331,68,,Not Econ Disadv,143,83,,0.7,0.3,0.73,7,7,73
26Q266,Econ Disadv,31,48,,Not Econ Disadv,37,65,,0.46,0.54,0.57,5,6,57
27Q042,Econ Disadv,45,0,,Not Econ Disadv,2,0,,0.96,0.04,0,10,0,0
27Q043,Econ Disadv,73,0,,Not Econ Disadv,3,0,,0.96,0.04,0,10,0,0
27Q047,Econ Disadv,6,50,,Not Econ Disadv,10,50,,0.38,0.63,0.5,4,5,50
27Q053,Econ Disadv,70,7,,Not Econ Disadv,7,0,,0.91,0.09,0.06,9,1,6
27Q105,Econ Disadv,63,13,,Not Econ Disadv,12,25,,0.84,0.16,0.15,8,1,15
27Q114,Econ Disadv,6,67,,Not Econ Disadv,22,55,,0.21,0.79,0.58,2,6,58
27Q124,Econ Disadv,89,52,,Not Econ Disadv,65,42,,0.58,0.42,0.48,6,5,48
27Q137,Econ Disadv,509,43,,Not Econ Disadv,91,58,,0.85,0.15,0.45,8,5,45
27Q146,Econ Disadv,32,63,,Not Econ Disadv,38,66,,0.46,0.54,0.65,5,6,65
27Q183,Econ Disadv,41,0,,Not Econ Disadv,4,0,,0.91,0.09,0,9,0,0
27Q202,Econ Disadv,280,44,,Not Econ Disadv,91,45,,0.75,0.25,0.44,8,4,44
27Q207,Econ Disadv,18,44,,Not Econ Disadv,27,56,,0.4,0.6,0.51,4,5,51
27Q210,Econ Disadv,476,32,,Not Econ Disadv,106,36,,0.82,0.18,0.33,8,3,33
27Q226,Econ Disadv,252,27,,Not Econ Disadv,35,14,,0.88,0.12,0.25,9,3,25
27Q232,Econ Disadv,52,58,,Not Econ Disadv,47,77,,0.53,0.47,0.67,5,7,67
27Q262,Econ Disadv,97,54,,Not Econ Disadv,34,59,,0.74,0.26,0.55,7,6,55
27Q282,Econ Disadv,74,49,,Not Econ Disadv,14,50,,0.84,0.16,0.49,8,5,49
27Q297,Econ Disadv,109,47,,Not Econ Disadv,10,30,,0.92,0.08,0.46,9,5,46
27Q309,Econ Disadv,67,16,,Not Econ Disadv,8,13,,0.89,0.11,0.16,9,2,16
27Q318,Econ Disadv,67,25,,Not Econ Disadv,9,11,,0.88,0.12,0.23,9,2,23
27Q319,Econ Disadv,96,29,,Not Econ Disadv,19,42,,0.83,0.17,0.31,8,3,31
27Q323,Econ Disadv,101,89,,Not Econ Disadv,125,93,,0.45,0.55,0.91,4,9,91
27Q333,Econ Disadv,19,37,,Not Econ Disadv,11,64,,0.63,0.37,0.47,6,5,47
28Q008,Econ Disadv,99,34,,Not Econ Disadv,15,27,,0.87,0.13,0.33,9,3,33
28Q072,Econ Disadv,69,23,,Not Econ Disadv,20,35,,0.78,0.22,0.26,8,3,26
28Q157,Econ Disadv,255,43,,Not Econ Disadv,259,80,,0.5,0.5,0.62,5,6,62
28Q167,Econ Disadv,80,26,,Not Econ Disadv,33,48,,0.71,0.29,0.32,7,3,32
28Q190,Econ Disadv,146,51,,Not Econ Disadv,223,70,,0.4,0.6,0.62,4,6,62
28Q217,Econ Disadv,377,30,,Not Econ Disadv,155,45,,0.71,0.29,0.34,7,3,34
28Q284,Econ Disadv,66,56,,Not Econ Disadv,28,61,,0.7,0.3,0.57,7,6,57
28Q287,Econ Disadv,86,15,,Not Econ Disadv,11,18,,0.89,0.11,0.15,9,2,15
28Q310,Econ Disadv,74,45,,Not Econ Disadv,8,50,,0.9,0.1,0.45,9,5,45
28Q332,Econ Disadv,48,19,,Not Econ Disadv,33,18,,0.59,0.41,0.19,6,2,19
28Q358,Econ Disadv,98,28,,Not Econ Disadv,22,27,,0.82,0.18,0.28,8,3,28
28Q680,Econ Disadv,53,87,,Not Econ Disadv,37,84,,0.59,0.41,0.86,6,9,86
28Q896,Econ Disadv,54,81,,Not Econ Disadv,23,91,,0.7,0.3,0.84,7,8,84
29Q059,Econ Disadv,126,29,,Not Econ Disadv,58,40,,0.68,0.32,0.32,7,3,32
29Q109,Econ Disadv,249,34,,Not Econ Disadv,126,40,,0.66,0.34,0.36,7,4,36
29Q116,Econ Disadv,47,17,,Not Econ Disadv,17,12,,0.73,0.27,0.16,7,2,16
29Q138,Econ Disadv,76,28,,Not Econ Disadv,36,42,,0.68,0.32,0.33,7,3,33
29Q147,Econ Disadv,47,26,,Not Econ Disadv,27,37,,0.64,0.36,0.3,6,3,30
29Q192,Econ Disadv,123,37,,Not Econ Disadv,50,36,,0.71,0.29,0.37,7,4,37
29Q208,Econ Disadv,36,33,,Not Econ Disadv,52,56,,0.41,0.59,0.47,4,5,47
29Q238,Econ Disadv,334,26,,Not Econ Disadv,70,37,,0.83,0.17,0.28,8,3,28
29Q259,Econ Disadv,66,39,,Not Econ Disadv,9,67,,0.88,0.12,0.42,9,4,42
29Q268,Econ Disadv,31,55,,Not Econ Disadv,25,48,,0.55,0.45,0.52,6,5,52
29Q270,Econ Disadv,84,48,,Not Econ Disadv,37,46,,0.69,0.31,0.47,7,5,47
29Q283,Econ Disadv,46,59,,Not Econ Disadv,9,67,,0.84,0.16,0.6,8,6,60
29Q289,Econ Disadv,28,4,,Not Econ Disadv,17,29,,0.62,0.38,0.13,6,1,13
29Q295,Econ Disadv,39,51,,Not Econ Disadv,17,53,,0.7,0.3,0.52,7,5,52
29Q327,Econ Disadv,43,14,,Not Econ Disadv,10,10,,0.81,0.19,0.13,8,1,13
29Q355,Econ Disadv,80,29,,Not Econ Disadv,17,35,,0.82,0.18,0.3,8,3,30
29Q356,Econ Disadv,88,15,,Not Econ Disadv,27,19,,0.77,0.23,0.16,8,2,16
30Q010,Econ Disadv,197,36,,Not Econ Disadv,58,40,,0.77,0.23,0.37,8,4,37
30Q078,Econ Disadv,18,56,,Not Econ Disadv,25,60,,0.42,0.58,0.58,4,6,58
30Q111,Econ Disadv,23,0,,Not Econ Disadv,3,0,,0.88,0.12,0,9,0,0
30Q122,Econ Disadv,50,98,,Not Econ Disadv,51,98,,0.5,0.5,0.98,5,10,98
30Q126,Econ Disadv,190,34,,Not Econ Disadv,37,70,,0.84,0.16,0.4,8,4,40
30Q127,Econ Disadv,119,39,,Not Econ Disadv,18,56,,0.87,0.13,0.41,9,4,41
30Q141,Econ Disadv,221,59,,Not Econ Disadv,150,67,,0.6,0.4,0.62,6,6,62
30Q145,Econ Disadv,459,35,,Not Econ Disadv,42,52,,0.92,0.08,0.36,9,4,36
30Q204,Econ Disadv,133,43,,Not Econ Disadv,16,31,,0.89,0.11,0.42,9,4,42
30Q227,Econ Disadv,292,63,,Not Econ Disadv,119,87,,0.71,0.29,0.7,7,7,70
30Q230,Econ Disadv,311,51,,Not Econ Disadv,86,62,,0.78,0.22,0.53,8,5,53
30Q235,Econ Disadv,18,0,,Not Econ Disadv,0,0,,1,0,0,10,0,0
30Q286,Econ Disadv,60,65,,Not Econ Disadv,13,62,,0.82,0.18,0.64,8,6,64
30Q291,Econ Disadv,82,51,,Not Econ Disadv,57,68,,0.59,0.41,0.58,6,6,58
30Q300,Econ Disadv,10,90,,Not Econ Disadv,24,100,,0.29,0.71,0.97,3,10,97
30Q580,Econ Disadv,21,100,,Not Econ Disadv,37,100,,0.36,0.64,1,4,10,100
31R002,Econ Disadv,251,35,,Not Econ Disadv,113,53,,0.69,0.31,0.41,7,4,41
31R007,Econ Disadv,150,65,,Not Econ Disadv,234,69,,0.39,0.61,0.67,4,7,67
31R024,Econ Disadv,204,51,,Not Econ Disadv,218,67,,0.48,0.52,0.59,5,6,59
31R027,Econ Disadv,238,44,,Not Econ Disadv,101,71,,0.7,0.3,0.52,7,5,52
31R028,Econ Disadv,57,18,,Not Econ Disadv,15,53,,0.79,0.21,0.25,8,3,25
31R034,Econ Disadv,131,57,,Not Econ Disadv,222,61,,0.37,0.63,0.6,4,6,60
31R048,Econ Disadv,54,39,,Not Econ Disadv,73,62,,0.43,0.57,0.52,4,5,52
31R049,Econ Disadv,145,16,,Not Econ Disadv,8,63,,0.95,0.05,0.18,9,2,18
31R051,Econ Disadv,303,23,,Not Econ Disadv,81,47,,0.79,0.21,0.28,8,3,28
31R061,Econ Disadv,246,25,,Not Econ Disadv,65,65,,0.79,0.21,0.33,8,3,33
31R063,Econ Disadv,73,62,,Not Econ Disadv,77,68,,0.49,0.51,0.65,5,7,65
31R072,Econ Disadv,316,47,,Not Econ Disadv,184,58,,0.63,0.37,0.51,6,5,51
31R075,Econ Disadv,205,49,,Not Econ Disadv,257,60,,0.44,0.56,0.55,4,6,55
31R080,Econ Disadv,30,23,,Not Econ Disadv,64,59,,0.32,0.68,0.48,3,5,48
31R861,Econ Disadv,64,47,,Not Econ Disadv,28,68,,0.7,0.3,0.53,7,5,53
32K045,Econ Disadv,44,32,,Not Econ Disadv,20,45,,0.69,0.31,0.36,7,4,36
32K162,Econ Disadv,65,26,,Not Econ Disadv,8,50,,0.89,0.11,0.29,9,3,29
32K291,Econ Disadv,71,0,,Not Econ Disadv,4,0,,0.95,0.05,0,9,0,0
32K347,Econ Disadv,86,0,,Not Econ Disadv,4,0,,0.96,0.04,0,10,0,0
32K349,Econ Disadv,109,0,,Not Econ Disadv,4,0,,0.96,0.04,0,10,0,0
32K383,Econ Disadv,207,54,,Not Econ Disadv,44,59,,0.82,0.18,0.55,8,5,55
32K384,Econ Disadv,44,23,,Not Econ Disadv,7,0,,0.86,0.14,0.2,9,2,20
32K554,Econ Disadv,42,98,,Not Econ Disadv,16,81,,0.72,0.28,0.93,7,9,93
32K562,Econ Disadv,103,29,,Not Econ Disadv,6,33,,0.94,0.06,0.29,9,3,29
